seqid	start	end	strand	gene_id	description
Chr2	6410088	6415526	+	Sdiv_ptg000009l_1327-R	Similar to At5g19680: Protein phosphatase 1 regulatory inhibitor subunit PPP1R7 homolog (Arabidopsis thaliana)
Chr2	6416075	6422223	+	Sdiv_ptg000009l_1328-R	Similar to STT3A: Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A (Arabidopsis thaliana)
Chr2	6421630	6421972	-	Sdiv_ptg000009l_1329-R	Protein of unknown function
Chr2	6430542	6433476	+	Sdiv_ptg000009l_1330-R	Similar to PME53: Probable pectinesterase 53 (Arabidopsis thaliana)
Chr2	6434265	6440138	+	Sdiv_ptg000009l_1331-R	Similar to LAMP1: Probable glutamate carboxypeptidase LAMP1 (Arabidopsis thaliana)
Chr2	6439628	6442480	-	Sdiv_ptg000009l_1332-R	Similar to DTC: Mitochondrial dicarboxylate/tricarboxylate transporter DTC (Arabidopsis thaliana)
Chr2	6443630	6445748	-	Sdiv_ptg000009l_1333-R	Similar to TUBA5: Tubulin alpha-5 chain (Arabidopsis thaliana)
Chr2	6449044	6451266	+	Sdiv_ptg000009l_1334-R	Similar to TUBA5: Tubulin alpha-5 chain (Arabidopsis thaliana)
Chr2	6450778	6451530	-	Sdiv_ptg000009l_1335-R	Protein of unknown function
Chr2	6454130	6454418	-	Sdiv_ptg000009l_1336-R	Protein of unknown function
Chr2	6454458	6460470	-	Sdiv_ptg000009l_1337-R	Similar to Ipo5: Importin-5 (Mus musculus)
Chr2	6462602	6469113	-	Sdiv_ptg000009l_1338-R	Similar to RBCX2: Chaperonin-like RbcX protein 2%2C chloroplastic (Arabidopsis thaliana)
Chr2	6476235	6478053	-	Sdiv_ptg000009l_1339-R	Similar to PER58: Peroxidase 58 (Arabidopsis thaliana)
Chr2	6484749	6486715	-	Sdiv_ptg000009l_1340-R	Similar to HRPN: Peroxidase N (Armoracia rusticana)
Chr2	6488524	6490761	-	Sdiv_ptg000009l_1341-R	Protein of unknown function
Chr2	6492547	6494878	-	Sdiv_ptg000009l_1342-R	Similar to MED31: Mediator of RNA polymerase II transcription subunit 31 (Arabidopsis thaliana)
Chr2	6496041	6499850	-	Sdiv_ptg000009l_1343-R	Protein of unknown function
Chr2	6500162	6502449	-	Sdiv_ptg000009l_1344-R	Similar to PGR: Protein PGR (Arabidopsis thaliana)
Chr2	6504229	6507129	-	Sdiv_ptg000009l_1345-R	Similar to TDRD3: Tudor domain-containing protein 3 (Gallus gallus)
Chr2	6508865	6509896	-	Sdiv_ptg000009l_1346-R	Similar to GFT1: GDP-fucose transporter 1 (Arabidopsis thaliana)
Chr2	6513895	6517770	+	Sdiv_ptg000009l_1347-R	Similar to RPT6A: 26S proteasome regulatory subunit 8 homolog A (Arabidopsis thaliana)
Chr2	6517794	6520787	+	Sdiv_ptg000009l_1348-R	Similar to RPT6A: 26S proteasome regulatory subunit 8 homolog A (Arabidopsis thaliana)
Chr2	6521422	6522843	+	Sdiv_ptg000009l_1349-R	Similar to RAN2: GTP-binding nuclear protein Ran-2 (Arabidopsis thaliana)
Chr2	6523439	6525375	-	Sdiv_ptg000009l_1350-R	Protein of unknown function
Chr2	6526766	6530133	-	Sdiv_ptg000009l_1351-R	Similar to IPT9: tRNA dimethylallyltransferase 9 (Arabidopsis thaliana)
Chr2	6537751	6546449	+	Sdiv_ptg000009l_1352-R	Similar to NUDT19: Nudix hydrolase 19%2C chloroplastic (Arabidopsis thaliana)
Chr2	6541975	6542247	-	Sdiv_ptg000009l_1353-R	Protein of unknown function
Chr2	6546926	6548153	-	Sdiv_ptg000009l_1354-R	Similar to MPC1: Mitochondrial pyruvate carrier 1 (Arabidopsis thaliana)
Chr2	6551402	6553715	-	Sdiv_ptg000009l_1355-R	Similar to dlcB: Dynein light chain%2C cytoplasmic (Dictyostelium discoideum)
Chr2	6555138	6556373	+	Sdiv_ptg000009l_1356-R	Protein of unknown function
Chr2	6556894	6558845	+	Sdiv_ptg000009l_1357-R	Protein of unknown function
Chr2	6559854	6561469	+	Sdiv_ptg000009l_1358-R	Similar to SPX1: SPX domain-containing protein 1 (Arabidopsis thaliana)
Chr2	6561207	6562471	-	Sdiv_ptg000009l_1359-R	Similar to snu13: NHP2-like protein 1 (Xenopus laevis)
Chr2	6563849	6564785	-	Sdiv_ptg000009l_1360-R	Protein of unknown function
Chr2	6565177	6569804	-	Sdiv_ptg000009l_1361-R	Similar to MED17: Mediator of RNA polymerase II transcription subunit 17 (Arabidopsis thaliana)
Chr2	6569915	6571378	+	Sdiv_ptg000009l_1362-R	Similar to rpmJ: 50S ribosomal protein L36 (Limosilactobacillus reuteri (strain JCM 1112))
Chr2	6573342	6574946	+	Sdiv_ptg000009l_1363-R	Protein of unknown function
Chr2	6575433	6583520	+	Sdiv_ptg000009l_1364-R	Similar to NUP1: Nuclear pore complex protein NUP1 (Arabidopsis thaliana)
Chr2	6584691	6585187	+	Sdiv_ptg000009l_1365-R	Similar to BCB: Blue copper protein (Arabidopsis thaliana)
Chr2	6587324	6589404	+	Sdiv_ptg000009l_1366-R	Similar to PI: Floral homeotic protein PISTILLATA (Arabidopsis thaliana)
Chr2	6591516	6594764	+	Sdiv_ptg000009l_1367-R	Similar to RFS6: Probable galactinol--sucrose galactosyltransferase 6 (Arabidopsis thaliana)
Chr2	6594751	6597780	-	Sdiv_ptg000009l_1368-R	Similar to At5g20260: Probable glycosyltransferase At5g20260 (Arabidopsis thaliana)
Chr2	6599165	6601053	-	Sdiv_ptg000009l_1369-R	Similar to HHP1: Heptahelical transmembrane protein 1 (Arabidopsis thaliana)
Chr2	6602474	6608288	-	Sdiv_ptg000009l_1370-R	Similar to SPS1: Sucrose-phosphate synthase 1 (Arabidopsis thaliana)
Chr2	6609291	6611045	-	Sdiv_ptg000009l_1371-R	Similar to RPS8: 40S ribosomal protein S8 (Zea mays)
Chr2	6611417	6615047	-	Sdiv_ptg000009l_1372-R	Similar to TOC90: Translocase of chloroplast 90%2C chloroplastic (Arabidopsis thaliana)
Chr2	6617141	6618684	+	Sdiv_ptg000009l_1373-R	Similar to PUB51: U-box domain-containing protein 51 (Arabidopsis thaliana)
Chr2	6619273	6628876	-	Sdiv_ptg000009l_1374-R	Similar to DCL4: Dicer-like protein 4 (Arabidopsis thaliana)
Chr2	6634333	6642201	+	Sdiv_ptg000009l_1375-R	Similar to PAT24: Protein S-acyltransferase 24 (Arabidopsis thaliana)
Chr2	6639339	6642288	-	Sdiv_ptg000009l_1376-R	Similar to PHOX3: Protein PHOX3 (Arabidopsis thaliana)
Chr2	6646380	6646967	-	Sdiv_ptg000009l_1377-R	Protein of unknown function
Chr2	6647383	6653084	-	Sdiv_ptg000009l_1378-R	Similar to ANTR6: Probable anion transporter 6%2C chloroplastic (Arabidopsis thaliana)
Chr2	6653989	6655734	+	Sdiv_ptg000009l_1379-R	Similar to SRG1: Protein SRG1 (Arabidopsis thaliana)
Chr2	6657305	6657576	+	Sdiv_ptg000009l_1380-R	Similar to CBL5: Calcineurin B-like protein 5 (Arabidopsis thaliana)
Chr2	6659654	6661696	+	Sdiv_ptg000009l_1381-R	Similar to MGD2: Monogalactosyldiacylglycerol synthase 2%2C chloroplastic (Arabidopsis thaliana)
Chr2	6662233	6666594	-	Sdiv_ptg000009l_1382-R	Similar to CLSY2: SNF2 domain-containing protein CLASSY 2 (Arabidopsis thaliana)
Chr2	6675751	6679008	+	Sdiv_ptg000009l_1383-R	Similar to EFR: LRR receptor-like serine/threonine-protein kinase EFR (Arabidopsis thaliana)
Chr2	6679795	6690281	-	Sdiv_ptg000009l_1384-R	Similar to XI-K: Myosin-17 (Arabidopsis thaliana)
Chr2	6689840	6690275	+	Sdiv_ptg000009l_1385-R	Protein of unknown function
Chr2	6692878	6696254	-	Sdiv_ptg000009l_1386-R	Similar to AL5: PHD finger protein ALFIN-LIKE 5 (Arabidopsis thaliana)
Chr2	6695707	6696724	+	Sdiv_ptg000009l_1387-R	Protein of unknown function
Chr2	6697956	6700761	-	Sdiv_ptg000009l_1388-R	Similar to WAV2: Alpha/beta hydrolase domain-containing protein WAV2 (Arabidopsis thaliana)
Chr2	6706182	6710538	+	Sdiv_ptg000009l_1389-R	Similar to BRXL4: Protein Brevis radix-like 4 (Arabidopsis thaliana)
Chr2	6714353	6715979	-	Sdiv_ptg000009l_1390-R	Similar to RBX1A: RING-box protein 1a (Arabidopsis thaliana)
Chr2	6716541	6720566	-	Sdiv_ptg000009l_1391-R	Similar to FIP1: Protein FIP1 (Arabidopsis thaliana)
Chr2	6721177	6725743	+	Sdiv_ptg000009l_1392-R	Similar to TBL5: Protein trichome birefringence-like 5 (Arabidopsis thaliana)
Chr2	6726405	6730980	+	Sdiv_ptg000009l_1393-R	Similar to PMIR1: Protein PLASTID MOVEMENT IMPAIRED 1-RELATED 1 (Arabidopsis thaliana)
Chr2	6731674	6732309	-	Sdiv_ptg000009l_1394-R	Similar to GER3: Germin-like protein subfamily 3 member 3 (Arabidopsis thaliana)
Chr2	6735512	6738185	-	Sdiv_ptg000009l_1395-R	Similar to GG3: Guanine nucleotide-binding protein subunit gamma 3 (Arabidopsis thaliana)
Chr2	6739433	6740077	+	Sdiv_ptg000009l_1396-R	Similar to At5g20640: Protein LURP-one-related 16 (Arabidopsis thaliana)
Chr2	6740345	6740782	-	Sdiv_ptg000009l_1397-R	Similar to COPT5: Copper transporter 5 (Arabidopsis thaliana)
Chr2	6743469	6743927	-	Sdiv_ptg000009l_1398-R	Protein of unknown function
Chr2	6750731	6753532	+	Sdiv_ptg000009l_1399-R	Similar to TBL16: Protein trichome birefringence-like 16 (Arabidopsis thaliana)
Chr2	6753992	6756029	+	Sdiv_ptg000009l_1400-R	Similar to PRK6: Pollen receptor-like kinase 6 (Arabidopsis thaliana)
Chr2	6758588	6759509	-	Sdiv_ptg000009l_1401-R	Similar to FLZ14: FCS-Like Zinc finger 14 (Arabidopsis thaliana)
Chr2	6762932	6766465	+	Sdiv_ptg000009l_1402-R	Similar to Beta-galactosidase (Brassica oleracea)
Chr2	6767407	6769481	+	Sdiv_ptg000009l_1403-R	Similar to CPN20: 20 kDa chaperonin%2C chloroplastic (Arabidopsis thaliana)
Chr2	6769464	6775102	-	Sdiv_ptg000009l_1404-R	Similar to ARF7: Auxin response factor 7 (Arabidopsis thaliana)
Chr2	6780742	6781353	-	Sdiv_ptg000009l_1405-R	Similar to PMEI3: Pectinesterase inhibitor 3 (Arabidopsis thaliana)
Chr2	6783657	6784220	-	Sdiv_ptg000009l_1406-R	Protein of unknown function
Chr2	6786450	6788102	+	Sdiv_ptg000009l_1407-R	Similar to Auxin-induced protein 15A (Glycine max)
Chr2	6792958	6796803	-	Sdiv_ptg000009l_1408-R	Similar to SUS1: Sucrose synthase 1 (Arabidopsis thaliana)
Chr2	6804789	6812292	-	Sdiv_ptg000009l_1409-R	Similar to SAC4: Phosphoinositide phosphatase SAC4 (Arabidopsis thaliana)
Chr2	6813243	6815683	-	Sdiv_ptg000009l_1410-R	Similar to RAD51: DNA repair protein RAD51 homolog 1 (Arabidopsis thaliana)
Chr2	6820998	6822963	-	Sdiv_ptg000009l_1411-R	Similar to At4g31140: Glucan endo-1%2C3-beta-glucosidase 5 (Arabidopsis thaliana)
Chr2	6828887	6832314	-	Sdiv_ptg000009l_1412-R	Similar to CCT2: T-complex protein 1 subunit beta (Arabidopsis thaliana)
Chr2	6833126	6834618	+	Sdiv_ptg000009l_1413-R	Similar to TIFY3B: Protein TIFY 3B (Arabidopsis thaliana)
Chr2	6834636	6836771	-	Sdiv_ptg000009l_1414-R	Similar to AIP2: E3 ubiquitin-protein ligase AIP2 (Arabidopsis thaliana)
Chr2	6837328	6839900	-	Sdiv_ptg000009l_1415-R	Similar to EIF2B: Eukaryotic translation initiation factor 2 subunit beta (Arabidopsis thaliana)
Chr2	6842435	6847651	+	Sdiv_ptg000009l_1416-R	Similar to TOUSLED: Serine/threonine-protein kinase TOUSLED (Arabidopsis thaliana)
Chr2	6847770	6848684	+	Sdiv_ptg000009l_1417-R	Similar to CRR42: Protein CHLORORESPIRATORY REDUCTION 42%2C chloroplastic (Arabidopsis thaliana)
Chr2	6850872	6854679	-	Sdiv_ptg000009l_1418-R	Similar to BACOVA_02659: Beta-glucosidase BoGH3B (Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / BCRC 10623 / CCUG 4943 / NCTC 11153))
Chr2	6858994	6865590	+	Sdiv_ptg000009l_1419-R	Similar to AAO1: Indole-3-acetaldehyde oxidase (Arabidopsis thaliana)
Chr2	6865921	6867009	+	Sdiv_ptg000009l_1420-R	Similar to RTM2: Protein RESTRICTED TEV MOVEMENT 2 (Arabidopsis thaliana)
Chr2	6866205	6871603	-	Sdiv_ptg000009l_1421-R	Similar to MS3: 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase 3%2C chloroplastic (Arabidopsis thaliana)
Chr2	6874303	6880308	-	Sdiv_ptg000009l_1422-R	Similar to CNX1: Molybdopterin biosynthesis protein CNX1 (Arabidopsis thaliana)
Chr2	6880460	6883388	+	Sdiv_ptg000009l_1423-R	Similar to BPM5: BTB/POZ and MATH domain-containing protein 5 (Arabidopsis thaliana)
Chr2	6885287	6886951	-	Sdiv_ptg000009l_1424-R	Similar to At5g21040: F-box/WD-40 repeat-containing protein At5g21040 (Arabidopsis thaliana)
Chr2	6888484	6892637	-	Sdiv_ptg000009l_1425-R	Similar to thrA: Bifunctional aspartokinase/homoserine dehydrogenase (Buchnera aphidicola subsp. Baizongia pistaciae (strain Bp))
Chr2	6895219	6897990	-	Sdiv_ptg000009l_1426-R	Similar to SKIP17: F-box protein SKIP17 (Arabidopsis thaliana)
Chr2	6898748	6901421	-	Sdiv_ptg000009l_1427-R	Similar to At4g02760: F-box protein At4g02760 (Arabidopsis thaliana)
Chr2	6901534	6902981	-	Sdiv_ptg000009l_1428-R	Protein of unknown function
Chr2	6905022	6905642	-	Sdiv_ptg000009l_1429-R	Similar to psaD1: Photosystem I reaction center subunit II-1%2C chloroplastic (Arabidopsis thaliana)
Chr2	6909268	6916039	-	Sdiv_ptg000009l_1430-R	Similar to GA1: Ent-copalyl diphosphate synthase%2C chloroplastic (Arabidopsis thaliana)
Chr2	6919616	6921791	+	Sdiv_ptg000009l_1431-R	Similar to DGP3: DAR GTPase 3%2C chloroplastic (Arabidopsis thaliana)
Chr2	6922242	6923678	+	Sdiv_ptg000009l_1432-R	Protein of unknown function
Chr2	6922304	6922664	-	Sdiv_ptg000009l_1433-R	Protein of unknown function
Chr2	6932437	6937062	+	Sdiv_ptg000009l_1434-R	Similar to At4g02820: Pentatricopeptide repeat-containing protein At4g02820%2C mitochondrial (Arabidopsis thaliana)
Chr2	6937444	6938100	+	Sdiv_ptg000009l_1435-R	Similar to At4g02820: Pentatricopeptide repeat-containing protein At4g02820%2C mitochondrial (Arabidopsis thaliana)
Chr2	6944241	6946353	+	Sdiv_ptg000009l_1436-R	Similar to SMD1B: Small nuclear ribonucleoprotein SmD1b (Arabidopsis thaliana)
Chr2	6948616	6950236	-	Sdiv_ptg000009l_1437-R	Similar to BH0283: Uncharacterized isomerase BH0283 (Halalkalibacterium halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125))
Chr2	6952797	6954003	-	Sdiv_ptg000009l_1438-R	Similar to PA3578: Uncharacterized isomerase PA3578 (Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1))
Chr2	6954321	6958033	+	Sdiv_ptg000009l_1439-R	Protein of unknown function
Chr2	6965712	6971806	+	Sdiv_ptg000009l_1440-R	Similar to At4g02900: CSC1-like protein At4g02900 (Arabidopsis thaliana)
Chr2	6970657	6974854	-	Sdiv_ptg000009l_1441-R	Similar to TUFA: Elongation factor Tu%2C mitochondrial (Arabidopsis thaliana)
Chr2	6984911	6989587	+	Sdiv_ptg000009l_1442-R	Similar to ALKBH10B: RNA demethylase ALKBH10B (Arabidopsis thaliana)
Chr2	6994127	7004427	+	Sdiv_ptg000009l_1443-R	Protein of unknown function
Chr2	6994482	6996188	-	Sdiv_ptg000009l_1444-R	Similar to ERABP1: Auxin-binding protein 1 (Arabidopsis thaliana)
Chr2	7004587	7006509	-	Sdiv_ptg000009l_1445-R	Similar to ERABP1: Auxin-binding protein 1 (Arabidopsis thaliana)
Chr2	7006977	7007324	+	Sdiv_ptg000009l_1446-R	Similar to MYB17: Transcription factor MYB17 (Arabidopsis thaliana)
Chr2	7010925	7017864	+	Sdiv_ptg000009l_1447-R	Similar to RF298: Putative E3 ubiquitin-protein ligase RF298 (Arabidopsis thaliana)
Chr2	7018830	7020029	+	Sdiv_ptg000009l_1448-R	Similar to ER2: LRR receptor-like serine/threonine-protein kinase ER2 (Oryza sativa subsp. japonica)
Chr2	7020484	7024044	-	Sdiv_ptg000009l_1449-R	Similar to LEC14B protein (Lithospermum erythrorhizon)
Chr2	7030036	7032472	-	Sdiv_ptg000009l_1450-R	Similar to AOP2: 2-oxoglutarate-dependent dioxygenase AOP2 (Arabidopsis thaliana)
Chr2	7035599	7036523	+	Sdiv_ptg000009l_1451-R	Similar to AOP1.2: Probable 2-oxoglutarate-dependent dioxygenase AOP1.2 (Arabidopsis thaliana)
Chr2	7036508	7042507	-	Sdiv_ptg000009l_1452-R	Similar to BSL1: Serine/threonine-protein phosphatase BSL1 (Arabidopsis thaliana)
Chr2	7043207	7048171	-	Sdiv_ptg000009l_1453-R	Similar to NDX: Nodulin homeobox (Arabidopsis thaliana)
Chr2	7052322	7054485	+	Sdiv_ptg000009l_1454-R	Similar to ROPGAP2: Rho GTPase-activating protein 2 (Arabidopsis thaliana)
Chr2	7054726	7057581	-	Sdiv_ptg000009l_1455-R	Similar to BRN1: RNA-binding protein BRN1 (Arabidopsis thaliana)
Chr2	7061419	7063483	-	Sdiv_ptg000009l_1456-R	Similar to ucpB: Mitochondrial substrate carrier family protein ucpB (Dictyostelium discoideum)
Chr2	7063845	7065423	+	Sdiv_ptg000009l_1457-R	Similar to At4g03120: U1 small nuclear ribonucleoprotein C (Arabidopsis thaliana)
Chr2	7065648	7067543	-	Sdiv_ptg000009l_1458-R	Similar to Paxip1: PAX-interacting protein 1 (Mus musculus)
Chr2	7068129	7068758	-	Sdiv_ptg000009l_1459-R	Protein of unknown function
Chr2	7070254	7071335	-	Sdiv_ptg000009l_1460-R	Protein of unknown function
Chr2	7070630	7071436	+	Sdiv_ptg000009l_1461-R	Similar to SDR2a: Short-chain dehydrogenase reductase 2a (Arabidopsis thaliana)
Chr2	7071522	7072367	-	Sdiv_ptg000009l_1462-R	Protein of unknown function
Chr2	7075771	7077172	+	Sdiv_ptg000009l_1463-R	Protein of unknown function
Chr2	7077233	7079355	-	Sdiv_ptg000009l_1464-R	Similar to GRH1: GRR1-like protein 1 (Arabidopsis thaliana)
Chr2	7081292	7086756	+	Sdiv_ptg000009l_1465-R	Similar to SPATA20: Spermatogenesis-associated protein 20 (Homo sapiens)
Chr2	7088160	7091596	+	Sdiv_ptg000009l_1466-R	Similar to At4g03220: Putative F-box/FBD/LRR-repeat protein At4g03220 (Arabidopsis thaliana)
Chr2	7091342	7094252	-	Sdiv_ptg000009l_1467-R	Similar to At4g03230: G-type lectin S-receptor-like serine/threonine-protein kinase At4g03230 (Arabidopsis thaliana)
Chr2	7094969	7096425	-	Sdiv_ptg000009l_1468-R	Similar to FH: Frataxin%2C mitochondrial (Arabidopsis thaliana)
Chr2	7097206	7103418	+	Sdiv_ptg000009l_1469-R	Similar to RLT1: Homeobox-DDT domain protein RLT1 (Arabidopsis thaliana)
Chr2	7103750	7105827	-	Sdiv_ptg000009l_1470-R	Similar to CYCD6-1: Putative cyclin-D6-1 (Arabidopsis thaliana)
Chr2	7110888	7112746	+	Sdiv_ptg000009l_1471-R	Similar to petC: Cytochrome b6-f complex iron-sulfur subunit%2C chloroplastic (Arabidopsis thaliana)
Chr2	7119281	7120586	+	Sdiv_ptg000009l_1472-R	Similar to TIC20-IV: Protein TIC 20-IV%2C chloroplastic (Arabidopsis thaliana)
Chr2	7121333	7122467	+	Sdiv_ptg000009l_1473-R	Similar to SYP123: Syntaxin-123 (Arabidopsis thaliana)
Chr2	7122708	7124225	-	Sdiv_ptg000009l_1474-R	Similar to GLCAT14B: Beta-glucuronosyltransferase GlcAT14B (Arabidopsis thaliana)
Chr2	7127358	7128723	-	Sdiv_ptg000009l_1475-R	Protein of unknown function
Chr2	7134860	7135746	+	Sdiv_ptg000009l_1476-R	Protein of unknown function
Chr2	7139620	7144070	-	Sdiv_ptg000009l_1477-R	Similar to SRF3: Protein STRUBBELIG-RECEPTOR FAMILY 3 (Arabidopsis thaliana)
Chr2	7158492	7159633	+	Sdiv_ptg000009l_1478-R	Protein of unknown function
Chr2	7159469	7162281	-	Sdiv_ptg000009l_1479-R	Similar to At4g03415: Probable protein phosphatase 2C 52 (Arabidopsis thaliana)
Chr2	7171981	7173666	+	Sdiv_ptg000009l_1480-R	Protein of unknown function
Chr2	7178160	7181213	-	Sdiv_ptg000009l_1481-R	Similar to STA1: Protein STABILIZED1 (Arabidopsis thaliana)
Chr2	7187901	7188368	-	Sdiv_ptg000009l_1482-R	Protein of unknown function
Chr2	7191260	7192414	-	Sdiv_ptg000009l_1483-R	Similar to RMA1: E3 ubiquitin-protein ligase RMA1 (Arabidopsis thaliana)
Chr2	7195156	7197152	-	Sdiv_ptg000009l_1484-R	Similar to TRXM2: Thioredoxin M2%2C chloroplastic (Arabidopsis thaliana)
Chr2	7198983	7200509	+	Sdiv_ptg000009l_1485-R	Similar to ARALYDRAFT_327471: CASP-like protein 1C1 (Arabidopsis lyrata subsp. lyrata)
Chr2	7203059	7209223	+	Sdiv_ptg000009l_1486-R	Similar to CALS12: Callose synthase 12 (Arabidopsis thaliana)
Chr2	7209675	7215058	+	Sdiv_ptg000009l_1487-R	Similar to TPC1: Two pore calcium channel protein 1 (Arabidopsis thaliana)
Chr2	7217902	7219932	+	Sdiv_ptg000009l_1488-R	Similar to SPCC777.06c: Putative hydrolase C777.06c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr2	7219993	7221068	-	Sdiv_ptg000009l_1489-R	Protein of unknown function
Chr2	7223039	7225378	-	Sdiv_ptg000009l_1490-R	Similar to MFDX1: Adrenodoxin-like protein 1%2C mitochondrial (Arabidopsis thaliana)
Chr2	7225716	7226723	-	Sdiv_ptg000009l_1491-R	Similar to cdc123: Cell division cycle protein 123 homolog (Xenopus tropicalis)
Chr2	7227306	7228349	-	Sdiv_ptg000009l_1492-R	Similar to At4g29360: Glucan endo-1%2C3-beta-glucosidase 12 (Arabidopsis thaliana)
Chr2	7230492	7233158	-	Sdiv_ptg000009l_1493-R	Similar to SRK2F: Serine/threonine-protein kinase SRK2F (Arabidopsis thaliana)
Chr2	7236084	7242665	-	Sdiv_ptg000009l_1494-R	Similar to DDB1A: DNA damage-binding protein 1a (Arabidopsis thaliana)
Chr2	7243043	7247514	+	Sdiv_ptg000009l_1495-R	Similar to YAO: U3 snoRNP-associated protein-like YAO (Arabidopsis thaliana)
Chr2	7245778	7247331	-	Sdiv_ptg000009l_1496-R	Protein of unknown function
Chr2	7247755	7249949	-	Sdiv_ptg000009l_1497-R	Similar to RFNR1: Ferredoxin--NADP reductase%2C root isozyme 1%2C chloroplastic (Arabidopsis thaliana)
Chr2	7258394	7260927	+	Sdiv_ptg000009l_1498-R	Similar to AGD13: Probable ADP-ribosylation factor GTPase-activating protein AGD13 (Arabidopsis thaliana)
Chr2	7271915	7276220	-	Sdiv_ptg000009l_1499-R	Similar to KIN14D: Kinesin-like protein KIN-14D (Arabidopsis thaliana)
Chr2	7277137	7278787	+	Sdiv_ptg000009l_1500-R	Similar to PSBQ2: Oxygen-evolving enhancer protein 3-2%2C chloroplastic (Arabidopsis thaliana)
Chr2	7280972	7282354	+	Sdiv_ptg000009l_1501-R	Similar to BHLH114: Transcription factor bHLH114 (Arabidopsis thaliana)
Chr2	7283769	7286369	-	Sdiv_ptg000009l_1502-R	Similar to 4CLL7: 4-coumarate--CoA ligase-like 7 (Arabidopsis thaliana)
Chr2	7289855	7291792	-	Sdiv_ptg000009l_1503-R	Protein of unknown function
Chr2	7293962	7296464	+	Sdiv_ptg000009l_1504-R	Similar to ENT3: Equilibrative nucleotide transporter 3 (Arabidopsis thaliana)
Chr2	7304230	7305508	-	Sdiv_ptg000009l_1505-R	Similar to MYB74: Transcription factor MYB74 (Arabidopsis thaliana)
Chr2	7308741	7311360	-	Sdiv_ptg000009l_1506-R	Similar to At4g05090: Putative PAP-specific phosphatase%2C mitochondrial (Arabidopsis thaliana)
Chr2	7313008	7314062	+	Sdiv_ptg000009l_1507-R	Similar to PVA43: Vesicle-associated protein 4-3 (Arabidopsis thaliana)
Chr2	7314072	7314724	+	Sdiv_ptg000009l_1508-R	Similar to PVA43: Vesicle-associated protein 4-3 (Arabidopsis thaliana)
Chr2	7317663	7321697	-	Sdiv_ptg000009l_1509-R	Similar to NDB2: External alternative NAD(P)H-ubiquinone oxidoreductase B2%2C mitochondrial (Arabidopsis thaliana)
Chr2	7326651	7327917	-	Sdiv_ptg000009l_1510-R	Similar to At4g05010: F-box protein At4g05010 (Arabidopsis thaliana)
Chr2	7328965	7329597	-	Sdiv_ptg000009l_1511-R	Similar to VPS28-2: Vacuolar protein sorting-associated protein 28 homolog 2 (Arabidopsis thaliana)
Chr2	7336502	7340288	+	Sdiv_ptg000009l_1512-R	Similar to At4g04980: Uncharacterized protein At4g04980 (Arabidopsis thaliana)
Chr2	7340617	7341085	-	Sdiv_ptg000009l_1513-R	Protein of unknown function
Chr2	7342155	7342458	-	Sdiv_ptg000009l_1514-R	Protein of unknown function
Chr2	7342774	7348864	-	Sdiv_ptg000009l_1515-R	Similar to CALS11: Callose synthase 11 (Arabidopsis thaliana)
Chr2	7353856	7354769	-	Sdiv_ptg000009l_1516-R	Similar to LECRK71: L-type lectin-domain containing receptor kinase VII.1 (Arabidopsis thaliana)
Chr2	7357759	7361107	+	Sdiv_ptg000009l_1517-R	Similar to ALN: Allantoinase (Arabidopsis thaliana)
Chr2	7362095	7364359	+	Sdiv_ptg000009l_1518-R	Similar to GRXS17: Monothiol glutaredoxin-S17 (Arabidopsis thaliana)
Chr2	7365926	7372366	+	Sdiv_ptg000009l_1519-R	Similar to SPCC1672.07: U3 small nucleolar RNA-associated protein 21 homolog (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr2	7374067	7375524	-	Sdiv_ptg000009l_1520-R	Similar to At4g04930: Sphingolipid delta(4)-desaturase DES1-like (Arabidopsis thaliana)
Chr2	7377843	7385874	-	Sdiv_ptg000009l_1521-R	Similar to MED16: Mediator of RNA polymerase II transcription subunit 16 (Arabidopsis thaliana)
Chr2	7390795	7396649	+	Sdiv_ptg000009l_1522-R	Similar to NSF: Vesicle-fusing ATPase (Arabidopsis thaliana)
Chr2	7399283	7401264	+	Sdiv_ptg000009l_1523-R	Similar to RIC10: CRIB domain-containing protein RIC10 (Arabidopsis thaliana)
Chr2	7406286	7406650	+	Sdiv_ptg000009l_1524-R	Protein of unknown function
Chr2	7407383	7411202	+	Sdiv_ptg000009l_1525-R	Similar to PDF2: Homeobox-leucine zipper protein PROTODERMAL FACTOR 2 (Arabidopsis thaliana)
Chr2	7411638	7415692	-	Sdiv_ptg000009l_1526-R	Similar to PCFS4: Polyadenylation and cleavage factor homolog 4 (Arabidopsis thaliana)
Chr2	7418263	7423342	+	Sdiv_ptg000009l_1527-R	Similar to MAPDA: N6-mAMP deaminase (Arabidopsis thaliana)
